id,title,title_slug,difficulty,runtime
1,Two Sum,two-sum,1,n
2,Add Two Numbers,add-two-numbers,2,"<timed out, manual entry>"
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,2,n
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,3,"log(min(m,n))"
5,Longest Palindromic Substring,longest-palindromic-substring,2,n^2
6,ZigZag Conversion,zigzag-conversion,2,n
7,Reverse Integer,reverse-integer,2,n
8,String to Integer (atoi),string-to-integer-atoi,2,"<timed out, manual entry>"
9,Palindrome Number,palindrome-number,1,1
10,Regular Expression Matching,regular-expression-matching,3,n
11,Container With Most Water,container-with-most-water,2,n
12,Integer to Roman,integer-to-roman,2,1
13,Roman to Integer,roman-to-integer,1,n
14,Longest Common Prefix,longest-common-prefix,1,"<timed out, manual entry>"
15,3Sum,3sum,2,n^2
16,3Sum Closest,3sum-closest,2,n^2
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,2,"<timed out, manual entry>"
18,4Sum,4sum,2,n^3
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,2,n
20,Valid Parentheses,valid-parentheses,1,1
21,Merge Two Sorted Lists,merge-two-sorted-lists,1,n+m
22,Generate Parentheses,generate-parentheses,2,"<timed out, manual entry>"
23,Merge k Sorted Lists,merge-k-sorted-lists,3,nlogk
24,Swap Nodes in Pairs,swap-nodes-in-pairs,2,n
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,3,n
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,1,n
27,Remove Element,remove-element,1,n
28,Implement strStr(),implement-strstr,1,m+n
29,Divide Two Integers,divide-two-integers,2,1
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,3,n
31,Next Permutation,next-permutation,2,n
32,Longest Valid Parentheses,longest-valid-parentheses,3,n
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,2,log n
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,2,logn
35,Search Insert Position,search-insert-position,1,logn
36,Valid Sudoku,valid-sudoku,2,n2
37,Sudoku Solver,sudoku-solver,3,9^n
38,Count and Say,count-and-say,2,n
39,Combination Sum,combination-sum,2,"<timed out, manual entry>"
40,Combination Sum II,combination-sum-ii,2,"<timed out, manual entry>"
41,First Missing Positive,first-missing-positive,3,n
42,Trapping Rain Water,trapping-rain-water,3,n
43,Multiply Strings,multiply-strings,2,m*n
44,Wildcard Matching,wildcard-matching,3,1
45,Jump Game II,jump-game-ii,2,n
46,Permutations,permutations,2,"<timed out, manual entry>"
47,Permutations II,permutations-ii,2,1
48,Rotate Image,rotate-image,2,1
49,Group Anagrams,group-anagrams,2,m * n
50,"Pow(x, n)",powx-n,2,log n
51,N-Queens,n-queens,3,n
52,N-Queens II,n-queens-ii,3,1
53,Maximum Subarray,maximum-subarray,1,n
54,Spiral Matrix,spiral-matrix,2,m*n
55,Jump Game,jump-game,2,n
56,Merge Intervals,merge-intervals,2,nlog(n)
57,Insert Interval,insert-interval,2,n
58,Length of Last Word,length-of-last-word,1,n
59,Spiral Matrix II,spiral-matrix-ii,2,n^2
60,Permutation Sequence,permutation-sequence,3,n
61,Rotate List,rotate-list,2,n
62,Unique Paths,unique-paths,2,m*n
63,Unique Paths II,unique-paths-ii,2,m*n
64,Minimum Path Sum,minimum-path-sum,2,n*n
65,Valid Number,valid-number,3,"<timed out, manual entry>"
66,Plus One,plus-one,1,n
67,Add Binary,add-binary,1,n
68,Text Justification,text-justification,3,n
69,Sqrt(x),sqrtx,1,log n
70,Climbing Stairs,climbing-stairs,1,n
71,Simplify Path,simplify-path,2,n
72,Edit Distance,edit-distance,3,n
73,Set Matrix Zeroes,set-matrix-zeroes,2,1
74,Search a 2D Matrix,search-a-2d-matrix,2,log(mn)
75,Sort Colors,sort-colors,2,n
76,Minimum Window Substring,minimum-window-substring,3,n
77,Combinations,combinations,2,"<timed out, manual entry>"
78,Subsets,subsets,2,"<timed out, manual entry>"
79,Word Search,word-search,2,n^2 * 4^k
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,2,n
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,2,n
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,2,n
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,1,"<timed out, manual entry>"
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,3,n
85,Maximal Rectangle,maximal-rectangle,3,n^2
86,Partition List,partition-list,2,n
87,Scramble String,scramble-string,3,n^4
88,Merge Sorted Array,merge-sorted-array,1,n
89,Gray Code,gray-code,2,"<timed out, manual entry>"
90,Subsets II,subsets-ii,2,"<timed out, manual entry>"
91,Decode Ways,decode-ways,2,1
92,Reverse Linked List II,reverse-linked-list-ii,2,n
93,Restore IP Addresses,restore-ip-addresses,2,"<timed out, manual entry>"
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,1,1
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,2,1
96,Unique Binary Search Trees,unique-binary-search-trees,2,n
97,Interleaving String,interleaving-string,2,m*n
98,Validate Binary Search Tree,validate-binary-search-tree,2,n
99,Recover Binary Search Tree,recover-binary-search-tree,2,n
100,Same Tree,same-tree,1,n
101,Symmetric Tree,symmetric-tree,1,"<timed out, manual entry>"
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,2,"<timed out, manual entry>"
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,2,"<timed out, manual entry>"
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,1,n
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,2,n
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,2,n
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,2,"<timed out, manual entry>"
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,1,n
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,2,n
110,Balanced Binary Tree,balanced-binary-tree,1,n
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,1,n
112,Path Sum,path-sum,1,n
113,Path Sum II,path-sum-ii,2,n
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,2,1
