id,title,tags,difficulty
1,Watermelon,"['brute+force', 'math']",800
2,Way Too Long Words,['strings'],800
3,Team,"['brute+force', 'greedy']",800
4,Next Round,"['*special', 'implementation']",800
5,Domino piling,"['greedy', 'math']",800
6,Bit++,['implementation'],800
7,Beautiful Matrix,['implementation'],800
8,Petya and Strings,"['implementation', 'strings']",800
9,Helpful Maths,"['greedy', 'implementation', 'sortings', 'strings']",800
10,Word Capitalization,"['implementation', 'strings']",800
11,Stones on the Table,['implementation'],800
12,Boy or Girl,"['brute+force', 'implementation', 'strings']",800
13,Bear and Big Brother,['implementation'],800
14,Soldier and Bananas,"['brute+force', 'implementation', 'math']",800
15,Elephant,['math'],800
16,Wrong Subtraction,['implementation'],800
17,Word,"['implementation', 'strings']",800
18,Tram,['implementation'],800
19,Queue at the School,"['constructive+algorithms', 'graph+matchings', 'implementation', 'shortest+paths']",800
20,Nearly Lucky Number,['implementation'],800
21,Translation,"['implementation', 'strings']",800
22,Anton and Danik,"['implementation', 'strings']",800
23,Beautiful Year,['brute+force'],800
24,Vanya and Fence,['implementation'],800
25,George and Accommodation,['implementation'],800
26,Presents,['implementation'],800
27,Magnets,['implementation'],800
28,In Search of an Easy Problem,['implementation'],800
29,Calculating Function,"['implementation', 'math']",800
30,Ultra-Fast Mathematician,['implementation'],800
31,Drinks,"['implementation', 'math']",800
32,Hulk,['implementation'],800
33,Is your horseshoe on the other hoof?,['implementation'],800
34,I Wanna Be the Guy,"['greedy', 'implementation']",800
35,Insomnia cure,"['constructive+algorithms', 'implementation', 'math']",800
36,Arrival of the General,['implementation'],800
37,Divisibility Problem,['math'],800
38,Anton and Letters,"['constructive+algorithms', 'implementation']",800
39,Games,['brute+force'],800
40,Pangram,"['implementation', 'strings']",800
41,Hit the Lottery,"['dp', 'greedy']",800
42,Amusing Joke,"['implementation', 'sortings', 'strings']",800
43,Anton and Polyhedrons,"['implementation', 'strings']",800
44,Candies and Two Sisters,['math'],800
45,Fox And Snake,['implementation'],800
46,New Year and Hurry,"['binary+search', 'brute+force', 'implementation', 'math']",800
47,I_love_\%username\%,['brute+force'],800
48,Vasya the Hipster,"['implementation', 'math']",800
49,Remove Smallest,"['greedy', 'sortings']",800
50,Yet Another Two Integers Problem,"['greedy', 'math']",800
51,Police Recruits,['implementation'],800
52,Buy a Shovel,"['brute+force', 'constructive+algorithms', 'implementation', 'math']",800
53,Restoring Three Numbers,['math'],800
54,Sum of Round Numbers,"['implementation', 'math']",800
55,Design Tutorial: Learn from Math,"['math', 'number+theory']",800
56,Short Substrings,"['implementation', 'strings']",800
57,Balanced Array,"['constructive+algorithms', 'math']",800
